pair_idx,sample_size,k_true,k_fit,run,true_distance,estimated_distance,absolute_error,relative_error,dimension,em_method
0,50,2,2,0,51.6307487487793,55.807960510253906,4.177211761474609,0.0809055045247078,2,one_step_cache
0,50,2,2,1,51.6307487487793,47.091983795166016,4.538764953613281,0.08790817856788635,2,one_step_cache
0,50,2,2,2,51.6307487487793,53.336734771728516,1.7059860229492188,0.0330420546233654,2,one_step_cache
0,50,2,2,3,51.6307487487793,54.154747009277344,2.523998260498047,0.048885565251111984,2,one_step_cache
0,50,2,2,4,51.6307487487793,49.57875061035156,2.0519981384277344,0.03974372148513794,2,one_step_cache
0,100,2,2,0,51.6307487487793,50.118412017822266,1.5123367309570312,0.029291396960616112,2,one_step_cache
0,100,2,2,1,51.6307487487793,49.01005935668945,2.6206893920898438,0.05075830593705177,2,one_step_cache
0,100,2,2,2,51.6307487487793,55.10403060913086,3.4732818603515625,0.06727157533168793,2,one_step_cache
0,100,2,2,3,51.6307487487793,51.02400207519531,0.6067466735839844,0.011751653626561165,2,one_step_cache
0,100,2,2,4,51.6307487487793,51.3874626159668,0.2432861328125,0.004712039604783058,2,one_step_cache
0,500,2,2,0,51.6307487487793,52.179595947265625,0.5488471984863281,0.010630238801240921,2,one_step_cache
0,500,2,2,1,51.6307487487793,52.115447998046875,0.4846992492675781,0.009387802332639694,2,one_step_cache
0,500,2,2,2,51.6307487487793,52.01412582397461,0.3833770751953125,0.007425363641232252,2,one_step_cache
0,500,2,2,3,51.6307487487793,51.3069953918457,0.32375335693359375,0.006270552985370159,2,one_step_cache
0,500,2,2,4,51.6307487487793,51.96266174316406,0.3319129943847656,0.006428591441363096,2,one_step_cache
0,1000,2,2,0,51.6307487487793,52.78165054321289,1.1509017944335938,0.022291015833616257,2,one_step_cache
0,1000,2,2,1,51.6307487487793,51.874237060546875,0.24348831176757812,0.004715955350548029,2,one_step_cache
0,1000,2,2,2,51.6307487487793,49.741455078125,1.8892936706542969,0.03659241273999214,2,one_step_cache
0,1000,2,2,3,51.6307487487793,51.146060943603516,0.48468780517578125,0.009387580677866936,2,one_step_cache
0,1000,2,2,4,51.6307487487793,52.06597900390625,0.4352302551269531,0.00842967163771391,2,one_step_cache
0,5000,2,2,0,51.6307487487793,51.4918212890625,0.13892745971679688,0.002690789056941867,2,one_step_cache
0,5000,2,2,1,51.6307487487793,51.23980712890625,0.3909416198730469,0.007571876049041748,2,one_step_cache
0,5000,2,2,2,51.6307487487793,51.98728561401367,0.356536865234375,0.006905514281243086,2,one_step_cache
0,5000,2,2,3,51.6307487487793,51.514530181884766,0.11621856689453125,0.0022509563714265823,2,one_step_cache
0,5000,2,2,4,51.6307487487793,51.68035888671875,0.049610137939453125,0.0009608641848899424,2,one_step_cache
0,10000,2,2,0,51.6307487487793,51.552085876464844,0.07866287231445312,0.001523566315881908,2,one_step_cache
0,10000,2,2,1,51.6307487487793,50.09294509887695,1.5378036499023438,0.02978464774787426,2,one_step_cache
0,10000,2,2,2,51.6307487487793,51.18028259277344,0.4504661560058594,0.008724764920771122,2,one_step_cache
0,10000,2,2,3,51.6307487487793,51.75590133666992,0.125152587890625,0.0024239933118224144,2,one_step_cache
0,10000,2,2,4,51.6307487487793,51.74898910522461,0.1182403564453125,0.0022901149932295084,2,one_step_cache
1,50,2,2,0,33.36027145385742,37.81011199951172,4.449840545654297,0.13338741660118103,2,one_step_cache
1,50,2,2,1,33.36027145385742,42.05215835571289,8.691886901855469,0.2605460584163666,2,one_step_cache
1,50,2,2,2,33.36027145385742,38.4807243347168,5.120452880859375,0.15348954498767853,2,one_step_cache
1,50,2,2,3,33.36027145385742,29.80609703063965,3.5541744232177734,0.10653913021087646,2,one_step_cache
1,50,2,2,4,33.36027145385742,30.490720748901367,2.8695507049560547,0.08601700514554977,2,one_step_cache
1,100,2,2,0,33.36027145385742,34.26031494140625,0.9000434875488281,0.02697950042784214,2,one_step_cache
1,100,2,2,1,33.36027145385742,31.903223037719727,1.4570484161376953,0.04367615655064583,2,one_step_cache
1,100,2,2,2,33.36027145385742,36.15199661254883,2.7917251586914062,0.08368412405252457,2,one_step_cache
1,100,2,2,3,33.36027145385742,34.626834869384766,1.2665634155273438,0.03796622157096863,2,one_step_cache
1,100,2,2,4,33.36027145385742,39.8687858581543,6.508514404296875,0.19509775936603546,2,one_step_cache
1,500,2,2,0,33.36027145385742,34.631168365478516,1.2708969116210938,0.038096118718385696,2,one_step_cache
1,500,2,2,1,33.36027145385742,35.18038558959961,1.8201141357421875,0.05455933138728142,2,one_step_cache
1,500,2,2,2,33.36027145385742,33.32205581665039,0.03821563720703125,0.001145543297752738,2,one_step_cache
1,500,2,2,3,33.36027145385742,35.13709259033203,1.7768211364746094,0.053261589258909225,2,one_step_cache
1,500,2,2,4,33.36027145385742,32.49823760986328,0.8620338439941406,0.02584013342857361,2,one_step_cache
1,1000,2,2,0,33.36027145385742,33.36566925048828,0.005397796630859375,0.0001618031383259222,2,one_step_cache
1,1000,2,2,1,33.36027145385742,33.52846145629883,0.16819000244140625,0.005041625816375017,2,one_step_cache
1,1000,2,2,2,33.36027145385742,33.69623947143555,0.335968017578125,0.010070901364088058,2,one_step_cache
1,1000,2,2,3,33.36027145385742,36.34169387817383,2.9814224243164062,0.08937045186758041,2,one_step_cache
1,1000,2,2,4,33.36027145385742,34.575626373291016,1.2153549194335938,0.0364312045276165,2,one_step_cache
1,5000,2,2,0,33.36027145385742,33.54718017578125,0.18690872192382812,0.005602733697742224,2,one_step_cache
1,5000,2,2,1,33.36027145385742,33.7107048034668,0.350433349609375,0.010504511184990406,2,one_step_cache
1,5000,2,2,2,33.36027145385742,34.69124984741211,1.3309783935546875,0.03989711031317711,2,one_step_cache
1,5000,2,2,3,33.36027145385742,34.05995178222656,0.6996803283691406,0.020973460748791695,2,one_step_cache
1,5000,2,2,4,33.36027145385742,33.576210021972656,0.21593856811523438,0.0064729261212050915,2,one_step_cache
1,10000,2,2,0,33.36027145385742,34.15583801269531,0.7955665588378906,0.023847725242376328,2,one_step_cache
1,10000,2,2,1,33.36027145385742,33.435516357421875,0.07524490356445312,0.0022555242758244276,2,one_step_cache
1,10000,2,2,2,33.36027145385742,33.980247497558594,0.6199760437011719,0.01858426257967949,2,one_step_cache
1,10000,2,2,3,33.36027145385742,33.71958541870117,0.35931396484375,0.010770714841783047,2,one_step_cache
1,10000,2,2,4,33.36027145385742,34.61155319213867,1.25128173828125,0.03750814124941826,2,one_step_cache
2,50,2,2,0,51.742095947265625,51.07509994506836,0.6669960021972656,0.012890780344605446,2,one_step_cache
2,50,2,2,1,51.742095947265625,47.04707336425781,4.6950225830078125,0.0907389298081398,2,one_step_cache
2,50,2,2,2,51.742095947265625,51.37582778930664,0.3662681579589844,0.007078726775944233,2,one_step_cache
2,50,2,2,3,51.742095947265625,55.515716552734375,3.77362060546875,0.07293134182691574,2,one_step_cache
2,50,2,2,4,51.742095947265625,51.813697814941406,0.07160186767578125,0.00138382229488343,2,one_step_cache
2,100,2,2,0,51.742095947265625,51.60551834106445,0.13657760620117188,0.0026395840104669333,2,one_step_cache
2,100,2,2,1,51.742095947265625,53.30754852294922,1.5654525756835938,0.03025491163134575,2,one_step_cache
